Game,Day,Date,StartTime,LOG,EndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Celtics,Knicks
70,Sunday,2015-03-22,21:30:00,136,23:46:00,1,17891,Los Angeles Lakers,87,101,-14,0,0,2014,17,53,-1,0,0,0
71,Tuesday,2015-03-24,22:00:00,148,00:28:00,1,16636,Sacramento Kings,106,107,-1,0,0,2014,17,54,-2,0,0,0
72,Wednesday,2015-03-25,21:00:00,139,23:19:00,1,14068,Denver Nuggets,99,85,14,1,0,2014,18,54,1,0,0,0
73,Friday,2015-03-27,19:00:00,140,21:20:00,0,16070,Los Angeles Clippers,98,119,-21,0,0,2014,18,55,-1,0,0,0
74,Sunday,2015-03-29,16:30:00,128,18:38:00,1,20562,Cleveland Cavaliers,86,87,-1,0,0,2014,18,56,-2,0,0,0
75,Monday,2015-03-30,19:00:00,158,21:38:00,0,13501,Los Angeles Lakers,111,113,-2,0,1,2014,18,57,-3,0,0,0
76,Wednesday,2015-04-01,19:00:00,127,21:07:00,1,17501,Washington Wizards,93,106,-13,0,0,2014,18,58,-4,0,0,0
77,Saturday,2015-04-04,19:00:00,143,21:23:00,1,17286,Charlotte Hornets,91,92,-1,0,0,2014,18,59,-5,0,0,0
78,Sunday,2015-04-05,19:30:00,140,21:50:00,1,19812,New York Knicks,91,101,-10,0,0,2014,18,60,-6,1,0,1
79,Wednesday,2015-04-08,19:00:00,136,21:16:00,0,12611,Washington Wizards,90,119,-29,0,0,2014,18,61,-7,0,0,0
80,Saturday,2015-04-11,20:00:00,140,22:20:00,1,22273,Chicago Bulls,107,114,-7,0,0,2014,18,62,-8,0,0,0
81,Monday,2015-04-13,19:00:00,148,21:28:00,0,10598,Milwaukee Bucks,97,107,-10,0,0,2014,18,63,-9,0,0,0
82,Wednesday,2015-04-15,20:00:00,139,22:19:00,0,14476,Miami Heat,101,105,-4,0,0,2014,18,64,-10,0,0,0
1,Wednesday,2015-10-28,19:30:00,133,21:43:00,1,18624,Boston Celtics,95,112,-17,0,0,2015,0,1,-1,1,1,0
2,Friday,2015-10-30,19:00:00,135,21:15:00,0,17122,Utah Jazz,71,99,-28,0,0,2015,0,2,-1,0,0,0
3,Monday,2015-11-02,19:00:00,136,21:16:00,0,18094,Cleveland Cavaliers,100,107,-7,0,0,2015,0,3,-2,0,0,0
4,Wednesday,2015-11-04,20:00:00,135,22:15:00,1,12437,Milwaukee Bucks,87,91,-4,0,0,2015,0,4,-3,0,0,0
5,Friday,2015-11-06,19:30:00,128,21:38:00,1,20562,Cleveland Cavaliers,102,108,-6,0,0,2015,0,5,-4,0,0,0
6,Saturday,2015-11-07,19:00:00,145,21:25:00,0,15207,Orlando Magic,97,105,-8,0,0,2015,0,6,-5,0,0,0
7,Monday,2015-11-09,19:00:00,126,21:06:00,0,13879,Chicago Bulls,88,111,-23,0,0,2015,0,7,-6,0,0,0
8,Wednesday,2015-11-11,19:00:00,130,21:10:00,0,12744,Toronto Raptors,103,119,-16,0,0,2015,0,8,-7,0,0,0
9,Friday,2015-11-13,20:00:00,128,22:08:00,1,18203,Oklahoma City Thunder,85,102,-17,0,0,2015,0,9,-8,0,0,0
10,Saturday,2015-11-14,20:30:00,126,22:36:00,1,18418,San Antonio Spurs,83,92,-9,0,0,2015,0,10,-9,0,0,0
11,Monday,2015-11-16,19:00:00,142,21:22:00,0,11555,Dallas Mavericks,86,92,-6,0,0,2015,0,11,-10,0,0,0
12,Wednesday,2015-11-18,19:00:00,131,21:11:00,0,11080,Indiana Pacers,85,112,-27,0,0,2015,0,12,-11,0,0,0
13,Friday,2015-11-20,19:00:00,127,21:07:00,1,17926,Charlotte Hornets,88,113,-25,0,0,2015,0,13,-12,0,0,0
14,Saturday,2015-11-21,20:00:00,154,22:34:00,1,19673,Miami Heat,91,96,-5,0,0,2015,0,14,-13,0,0,0
15,Monday,2015-11-23,20:00:00,147,22:27:00,1,11382,Minnesota Timberwolves,95,100,-5,0,0,2015,0,15,-14,0,0,0
16,Wednesday,2015-11-25,19:30:00,133,21:43:00,1,17588,Boston Celtics,80,84,-4,0,0,2015,0,16,-15,1,1,0
17,Friday,2015-11-27,20:00:00,144,22:24:00,1,17306,Houston Rockets,114,116,-2,0,0,2015,0,17,-16,0,0,0
18,Sunday,2015-11-29,18:00:00,142,20:22:00,1,15322,Memphis Grizzlies,84,92,-8,0,0,2015,0,18,-17,0,0,0
19,Tuesday,2015-12-01,19:00:00,138,21:18:00,0,20510,Los Angeles Lakers,103,91,12,1,0,2015,1,18,1,0,0,0
20,Wednesday,2015-12-02,19:30:00,132,21:42:00,1,19812,New York Knicks,87,99,-12,0,0,2015,1,19,-1,1,0,1
21,Saturday,2015-12-05,13:00:00,142,15:22:00,0,15677,Denver Nuggets,105,108,-3,0,0,2015,1,20,-2,0,0,0
22,Monday,2015-12-07,19:00:00,130,21:10:00,0,14449,San Antonio Spurs,68,119,-51,0,0,2015,1,21,-3,0,0,0
23,Thursday,2015-12-10,19:30:00,140,21:50:00,1,13266,Brooklyn Nets,91,100,-9,0,0,2015,1,22,-4,0,0,0
24,Friday,2015-12-11,19:00:00,131,21:11:00,0,17239,Detroit Pistons,95,107,-12,0,0,2015,1,23,-5,0,0,0
25,Sunday,2015-12-13,18:00:00,136,20:16:00,1,19800,Toronto Raptors,76,96,-20,0,0,2015,1,24,-6,0,0,0
26,Monday,2015-12-14,20:00:00,122,22:02:00,1,21166,Chicago Bulls,96,115,-19,0,0,2015,1,25,-7,0,0,0
27,Wednesday,2015-12-16,20:00:00,141,22:21:00,1,14827,Atlanta Hawks,106,127,-21,0,0,2015,1,26,-8,0,0,0
28,Friday,2015-12-18,19:00:00,142,21:22:00,0,17880,New York Knicks,97,107,-10,0,0,2015,1,27,-9,1,0,1
29,Sunday,2015-12-20,15:30:00,134,17:44:00,1,20562,Cleveland Cavaliers,86,108,-22,0,0,2015,1,28,-10,0,0,0
30,Tuesday,2015-12-22,19:00:00,141,21:21:00,0,15552,Memphis Grizzlies,90,104,-14,0,0,2015,1,29,-11,0,0,0
31,Wednesday,2015-12-23,20:00:00,128,22:08:00,1,15754,Milwaukee Bucks,100,113,-13,0,0,2015,1,30,-12,0,0,0
32,Saturday,2015-12-26,21:00:00,150,23:30:00,1,17548,Phoenix Suns,111,104,7,1,0,2015,2,30,1,0,0,0
33,Monday,2015-12-28,21:00:00,149,23:29:00,1,19911,Utah Jazz,91,95,-4,0,0,2015,2,31,-1,0,0,0
34,Wednesday,2015-12-30,22:00:00,146,00:26:00,1,17317,Sacramento Kings,110,105,5,1,0,2015,3,31,1,0,0,0
35,Friday,2016-01-01,22:30:00,134,00:44:00,1,18997,Los Angeles Lakers,84,93,-9,0,0,2015,3,32,-1,0,0,0
36,Saturday,2016-01-02,22:30:00,125,00:35:00,1,19212,Los Angeles Clippers,99,130,-31,0,0,2015,3,33,-2,0,0,0
37,Monday,2016-01-04,19:00:00,139,21:19:00,0,14013,Minnesota Timberwolves,109,99,10,1,0,2015,4,33,1,0,0,0
38,Thursday,2016-01-07,19:00:00,129,21:09:00,0,12611,Atlanta Hawks,98,126,-28,0,0,2015,4,34,-1,0,0,0
39,Saturday,2016-01-09,19:30:00,129,21:39:00,0,14100,Toronto Raptors,95,108,-13,0,0,2015,4,35,-2,0,0,0
40,Sunday,2016-01-10,18:00:00,131,20:11:00,0,19226,Cleveland Cavaliers,85,95,-10,0,0,2015,4,36,-3,0,0,0
41,Thursday,2016-01-14,19:00:00,159,21:39:00,0,14063,Chicago Bulls,111,115,-4,0,1,2015,4,37,-4,0,0,0
42,Saturday,2016-01-16,19:30:00,134,21:44:00,0,15698,Portland Trail Blazers,114,89,25,1,0,2015,5,37,1,0,0,0
43,Monday,2016-01-18,13:00:00,179,15:59:00,1,19812,New York Knicks,113,119,-6,0,0,2015,5,38,-1,1,0,1
44,Wednesday,2016-01-20,19:00:00,126,21:06:00,1,17746,Orlando Magic,96,87,9,1,0,2015,6,38,1,0,0,0
45,Sunday,2016-01-24,19:00:00,124,21:04:00,0,9722,Boston Celtics,92,112,-20,0,0,2015,6,39,-1,1,1,0
