Game,Day,Date,xStartTime,xLOG,xEndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,SO,Season,Wins,Losses,Streak,Rivalry,Penguins,Rangers,Devils,RegularSeason,ConfQF
21,Monday,2015-11-23,19:00:00,153,21:33:00,0,18636,Carolina Hurricanes,3,2,1,1,1,0,2015,7,9,1,0,0,0,0,1,0
22,Wednesday,2015-11-25,19:00:00,144,21:24:00,1,13027,New York Islanders,1,3,-2,0,0,0,2015,7,10,-1,0,0,0,0,1,0
23,Friday,2015-11-27,19:00:00,161,21:41:00,0,19818,Nashville Predators,3,2,1,1,1,0,2015,8,10,1,0,0,0,0,1,0
24,Saturday,2015-11-28,17:00:00,139,19:19:00,1,18006,New York Rangers,3,0,3,1,0,0,2015,9,10,2,1,0,1,0,1,0
25,Tuesday,2015-12-01,19:00:00,154,21:34:00,1,17010,Ottawa Senators,4,2,2,1,0,0,2015,10,10,3,0,0,0,0,1,0
26,Friday,2015-12-04,19:00:00,154,21:34:00,1,14825,New Jersey Devils,4,3,1,1,1,0,2015,11,10,4,1,0,0,1,1,0
27,Saturday,2015-12-05,17:00:00,150,19:30:00,0,18202,Columbus Blue Jackets,1,4,-3,0,0,0,2015,11,11,-1,0,0,0,0,1,0
28,Tuesday,2015-12-08,19:00:00,163,21:43:00,0,18108,New York Islanders,3,4,-1,0,1,1,2015,11,11,-1,0,0,0,0,1,0
29,Thursday,2015-12-10,19:00:00,147,21:27:00,1,14428,St. Louis Blues,4,2,2,1,0,0,2015,12,11,1,0,0,0,0,1,0
30,Friday,2015-12-11,19:00:00,155,21:35:00,1,18532,Dallas Stars,1,3,-2,0,0,0,2015,12,12,-1,0,0,0,0,1,0
31,Tuesday,2015-12-15,19:00:00,149,21:29:00,0,18205,Carolina Hurricanes,4,3,1,1,1,0,2015,13,12,1,0,0,0,0,1,0
32,Thursday,2015-12-17,19:00:00,153,21:33:00,0,17943,Vancouver Canucks,2,0,2,1,0,0,2015,14,12,2,0,0,0,0,1,0
33,Saturday,2015-12-19,17:00:00,164,19:44:00,1,14030,Columbus Blue Jackets,2,3,-1,0,1,1,2015,14,12,-1,0,0,0,0,1,0
34,Monday,2015-12-21,19:00:00,151,21:31:00,0,19676,St. Louis Blues,4,3,1,1,0,0,2015,15,12,1,0,0,0,0,1,0
35,Sunday,2015-12-27,17:00:00,149,19:29:00,1,17322,Anaheim Ducks,2,4,-2,0,0,0,2015,15,13,-1,0,0,0,0,1,0
36,Wednesday,2015-12-30,19:00:00,152,21:32:00,1,17562,San Jose Sharks,2,4,-2,0,0,0,2015,15,14,-2,0,0,0,0,1,0
