,date,hour,region,stop_count,Game,Day,StartTime,xEndTime,Home,Opp,TeamScore,OppScore,PointDiff,DefTO,OffTO,TODiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Giants,Cowboys,RegularSeason,Division,ConfChamp,SuperBowl,gameday,start_hour,end_hour,game_period,baseline,percent_change_in_stops,area_km2,stop_density
65,2014-09-07,13,1,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,0.04441453566621804,-1.0,3.141592653589793,0.0
66,2014-09-07,13,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,0.2503364737550471,-1.0,9.42477796076938,0.0
67,2014-09-07,13,3,2,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,1.0713324360699865,0.8668341708542714,15.707963267948966,0.12732395447351627
68,2014-09-07,13,4,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,1.3600269179004039,-1.0,21.991148575128552,0.0
69,2014-09-07,13,5,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,1.1695827725437415,-1.0,28.274333882308138,0.0
70,2014-09-07,14,1,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,0.04306864064602961,22.21875,3.141592653589793,0.3183098861837907
71,2014-09-07,14,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,0.17227456258411844,-1.0,9.42477796076938,0.0
72,2014-09-07,14,3,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,0.6682368775235532,-1.0,15.707963267948966,0.0
73,2014-09-07,14,4,3,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,1.0740242261103634,1.7932330827067668,21.991148575128552,0.136418522650196
74,2014-09-07,14,5,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,0.8586810228802153,0.16457680250783704,28.274333882308138,0.0353677651315323
75,2014-09-07,15,1,3,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,0.05720053835800808,51.44705882352942,3.141592653589793,0.954929658551372
76,2014-09-07,15,2,2,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,during,0.21870794078061911,8.144615384615385,9.42477796076938,0.2122065907891938
